ent_fed,sexo,edad,estudiaron_licenciatura
Campeche,Mujeres,19,1203
Campeche,Mujeres,20,2260
Campeche,Mujeres,21,2130
Campeche,Mujeres,22,2462
Campeche,Mujeres,23,2513
Campeche,Mujeres,24,2455
Coahuila de Zaragoza,Hombres,3,0
Coahuila de Zaragoza,Hombres,4,0
Coahuila de Zaragoza,Hombres,5,0
Coahuila de Zaragoza,Hombres,6,0
Coahuila de Zaragoza,Hombres,7,0
Coahuila de Zaragoza,Hombres,8,0
Coahuila de Zaragoza,Hombres,9,0
Coahuila de Zaragoza,Hombres,10,0
Coahuila de Zaragoza,Hombres,11,0
Coahuila de Zaragoza,Hombres,12,0
Coahuila de Zaragoza,Hombres,13,0
Coahuila de Zaragoza,Hombres,14,0
Coahuila de Zaragoza,Hombres,15,0
Coahuila de Zaragoza,Hombres,16,0
Coahuila de Zaragoza,Hombres,17,0
Coahuila de Zaragoza,Hombres,18,2288
Coahuila de Zaragoza,Hombres,19,4357
Coahuila de Zaragoza,Hombres,20,6686
Coahuila de Zaragoza,Hombres,21,6778
Coahuila de Zaragoza,Hombres,22,7295
Coahuila de Zaragoza,Hombres,23,6979
Coahuila de Zaragoza,Hombres,24,6904
Coahuila de Zaragoza,Mujeres,3,0
Coahuila de Zaragoza,Mujeres,4,0
Coahuila de Zaragoza,Mujeres,5,0
Coahuila de Zaragoza,Mujeres,6,0
Coahuila de Zaragoza,Mujeres,7,0
Coahuila de Zaragoza,Mujeres,8,0
Coahuila de Zaragoza,Mujeres,9,0
Coahuila de Zaragoza,Mujeres,10,0
Coahuila de Zaragoza,Mujeres,11,0
Coahuila de Zaragoza,Mujeres,12,0
Coahuila de Zaragoza,Mujeres,13,0
Coahuila de Zaragoza,Mujeres,14,0
Coahuila de Zaragoza,Mujeres,15,0
Coahuila de Zaragoza,Mujeres,16,0
Coahuila de Zaragoza,Mujeres,17,0
Coahuila de Zaragoza,Mujeres,18,3071
Coahuila de Zaragoza,Mujeres,19,5408
Coahuila de Zaragoza,Mujeres,20,7581
Coahuila de Zaragoza,Mujeres,21,7525
Coahuila de Zaragoza,Mujeres,22,7822
Coahuila de Zaragoza,Mujeres,23,7443
Coahuila de Zaragoza,Mujeres,24,7312
Colima,Hombres,3,0
Colima,Hombres,4,0
Colima,Hombres,5,0
Colima,Hombres,6,0
Colima,Hombres,7,0
Colima,Hombres,8,0
Colima,Hombres,9,0
Colima,Hombres,10,0
Colima,Hombres,11,0
Colima,Hombres,12,0
Colima,Hombres,13,0
Colima,Hombres,14,0
Colima,Hombres,15,0
Colima,Hombres,16,0
Colima,Hombres,17,0
Colima,Hombres,18,318
Colima,Hombres,19,976
Colima,Hombres,20,1911
Colima,Hombres,21,1887
Colima,Hombres,22,2003
Colima,Hombres,23,1912
Colima,Hombres,24,1902
Colima,Mujeres,3,0
Colima,Mujeres,4,0
Colima,Mujeres,5,0
Colima,Mujeres,6,0
Colima,Mujeres,7,0
Colima,Mujeres,8,0
Colima,Mujeres,9,0
Colima,Mujeres,10,0
Colima,Mujeres,11,0
Colima,Mujeres,12,0
Colima,Mujeres,13,0
Colima,Mujeres,14,0
Colima,Mujeres,15,0
Colima,Mujeres,16,0
